Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.349..5...9.....266....7.3.....35..1.........1..42.....4.8....295.....7...2..485.,26,46,9,1,0,0,0,0,0,Intermediate,
.5281........52..9.......8.5.62...4...1......7.89...6........1.....86..4.3942....,25,50,6,1,0,0,0,0,0,Intermediate,
59...4..7.7...1.......6.2.....2.67...82...43...93.8.....5.8.......4...1.8..5...76,26,38,17,3,0,0,0,0,0,Intermediate,
....7..5...8.94....9.8....1..7...58....63.7....6...92..4.2....5..5.83.......5..3.,25,45,11,1,0,1,0,0,0,Intermediate,
....9...67..8...4.........5..4.3586......8.3..2.1....964...39....2.....3....5...4,24,43,14,7,0,2,0,0,0,Intermediate,
4.15.8..3..8......3......52...78.1...47.1.......62.3..2......18..6......5.38.6..4,27,41,13,1,0,0,0,0,0,Intermediate,
......4..78...1.....5......51..6....4.3.1..2....4...37.3.....8...217...9..9..5...,23,47,11,0,1,3,1,0,0,Intermediate,
51.....34............6.4.....57.68...3.8.2.5..4..5..9....568...85.9.3.27.........,26,52,3,1,0,2,0,0,0,Intermediate,
.5.96.4...8.13...5..6.....2..5....84.2...76....1....27..9.....6.4.29...1.1.84.2..,29,36,16,1,0,2,0,0,0,Intermediate,
.8.....2...14.97..6...2...94...1...7178...295..........6.....3.2.37.69.8...3.5...,28,42,11,1,0,0,0,0,0,Intermediate,
8....235.6...4..9......3.2.3...8.7.1.........9.4.7...3.7.2......8..5...6.497....2,26,38,17,1,0,0,0,0,0,Intermediate,
3..8.5.92.......6...29..3.17..........9.286..1..........12..9.7.......1.5..3.1.24,26,42,13,4,0,1,0,0,0,Intermediate,
8..2....5...47...3.....87..4.71..59...8...4...32..48.1..13.....3...16...5....2..7,28,43,10,1,0,0,0,0,0,Intermediate,
.7..........3..6..4.92....7....2..3..4....5..5.673...128.........4......3...918.5,24,41,16,1,0,4,0,0,0,Intermediate,
5..3..7..3..8...1.....4.3.6..9..325.75.........2..748.....7.6.22..9...3.9..6..8..,28,36,17,1,0,0,0,0,0,Intermediate,
2.4.......5..9..4...12.....8..5.2..16....9...4....132.......98......6.3...8.3..52,25,39,17,1,0,0,0,0,0,Intermediate,
....78....58..2.1..7.5.1......6.4.21..9....5.2...3..........63.9..2.....4......82,24,43,14,4,0,0,0,0,0,Intermediate,
7.63....5.5.............6......5..28.85.324.7..78......14.28..33..6............89,26,42,13,0,0,3,1,0,0,Intermediate,
..2.3.5.....4.6.....19.28.....291.....6.7.3....58.39...7.....3..5..8..9..68...75.,28,43,10,1,0,0,0,0,0,Intermediate,
...9.74....1.2...8.5........3.8...1..276.384..8...9.6........7.4...3.2....87.6...,26,48,7,1,0,0,0,0,0,Intermediate,
..31......5.3..69..1..5.8....96....8....7....3....82....7.6..2..25..4.3......19..,25,43,13,1,0,0,0,0,0,Intermediate,
9.4..3..261.9.....8.3...79....26...4..5...2..4...38....86...1.9.....9.462..3..8.7,30,40,11,1,0,0,0,0,0,Intermediate,
..5...3...836.971...9.7.2...5..3..9.93.....48..8...5...6.3.4.7............12.54..,28,44,9,4,0,0,0,0,0,Intermediate,
..6...83......261..13..8..9..45......2...6.....17......85..4..2.....135...9...76.,26,43,12,2,0,0,0,0,0,Intermediate,
2..9.......3.....5..48.1........9.34.7....8.9..1...7..61..4.5.......8.7..8...5..3,24,41,16,1,0,4,0,0,0,Intermediate,
.31..4.7.7.....9.1.6........4..75.2.....3.79....9.....5...2.6.3.2..6.....94....1.,25,45,11,1,0,0,0,0,0,Intermediate,
.4.2....82....3.7.3.571..6.......8.1.93.4..........4.78.657..4.7....4.8..1.3....2,29,38,14,1,0,0,0,0,0,Intermediate,
..78.....9......7148..9........273..6.2.5........895..37..6....2......14..45.....,25,46,10,2,0,2,1,0,0,Intermediate,
.248.....5...3....379....8.....6..78..7...9..65..1.....3....845....2...7.....569.,26,47,8,2,1,2,0,0,0,Intermediate,
..83...9..1....78......7..2.2396...1.8......4.6781...9.....5..7.7....32...67...1.,28,40,13,2,0,0,0,0,0,Intermediate,
.8.4...1.6...8..93...6...5.57..69....29...1...4.7........9.......7.....4.5..3.2..,24,42,15,0,0,1,0,0,0,Intermediate,
7..8.2..38.2...5.9....4....1...8...42..3.9..6..6.1.9...........6.7...8.19..164..5,28,34,19,0,0,4,0,0,0,Intermediate,
..28..9.........364.5....8.5...8.....9...4..2....5.....6..7...9...6.914....5..6.7,24,45,12,2,0,2,0,0,0,Intermediate,
........2.7..2..5..6.7.38..39.......2.4...5.8...3..4.1...8..1..5.....7.96.94.....,25,47,9,1,0,0,0,0,0,Intermediate,
4..1.....297.....3.1..6..8.....53....6.91..3.8.42.......8.....6...5..8...2......4,24,48,9,1,0,0,0,0,0,Intermediate,
.1.52..94...1..2.6..6.....5...2...17.........45...9...1.....7..3.5..7...97..61.8.,26,41,14,1,2,5,0,0,0,Intermediate,
..36..9......2...4..9...37..2.......5.673.1.......84.6........1.....264.3..4....8,24,49,8,1,0,5,0,0,0,Intermediate,
9.....85..1652.......3......8.1.2.9..3..5..8..4.9.3.6....2......9763....4.....71.,27,38,16,1,1,3,0,0,0,Intermediate,
.45.6..1....8....2.7.9.2....2....4..8....9....5....7...3.2.1......4....1.16.7..3.,24,48,9,1,0,0,0,0,0,Intermediate,
...2....4..1.476....21.5..9.25.7.....1.6..9...97.5......89.4..7..9.162.....7....6,29,28,24,0,1,2,1,0,0,Intermediate,
7.8..6.1.6.5.....79..7........2.9....69...47....4.1........5..68.....9.1.2.9..5.4,26,42,13,1,0,0,1,0,0,Intermediate,
....91...2...7......4..3.61..3....9..4..3682...2....4...6..7.155...4........68...,25,53,3,2,0,1,0,0,0,Intermediate,
............596....26...93..73...18.....7.......361....3.....9.4.......569.835.47,26,39,16,1,0,2,0,0,0,Intermediate,
...9...281.2..8.......72.....9..5..6.5.14.7....4..3..5....34...4.3..9......6...42,26,48,7,2,0,2,1,0,0,Intermediate,
..7...8...6.....1.9.......2..41.89..15.....78..9.7.6.....5.2...82.7.4.65..5.8.4..,28,40,13,0,0,1,0,0,0,Intermediate,
..9.5..3..3..64...57..........4.892.9.472.3.....9.576.65........8..43.....1.7..8.,29,47,5,1,0,0,0,0,0,Intermediate,
.2...6..33....76....6.1...4....5..4..7..4.1...8.173..92...91..8..3..8..........9.,26,32,23,2,0,0,0,0,0,Intermediate,
1.......7.958.4.1...436.95..4....17...1.4.3...29....6..37.182...1.6.974.9.......1,33,33,15,1,0,2,2,0,0,Intermediate,
.81.6..32..2.83....6.1.....4......76.53...4816......25.3.7.......4.16....79.4..53,31,37,13,2,0,0,0,0,0,Intermediate,
.19..7..624.3.........4..8......13....6.3.8....19......2..5.........3.541..8..29.,25,50,6,0,1,3,0,0,0,Intermediate,
.........2...6..97..7..43...78.2..1.5.2.1...6.61.3..4...6..28..4...7..61.........,26,39,16,0,0,1,1,0,0,Intermediate,
..4.5...7.8.9...3..13..8...3.6....7.8.....1......4..9....89.2.4......7...6.4.1...,24,34,23,0,0,4,0,0,0,Intermediate,
..73...9.8.....6..6....415.32.1........598.....8........54....91..93.5.7.8.......,25,40,16,1,0,0,0,0,0,Intermediate,
73.....158.2...6.36.5...7.2..93.18....87.62......5.....4..1..3....5.4.......8....,27,40,14,1,0,0,0,0,0,Intermediate,
5.2..3..7...9.......7652.4.3.....5....58..4.38.....7....3594.6....2.....4.8..6..9,28,40,13,1,0,2,2,0,0,Intermediate,
.7........9.4.....4....32.87.4..6.1.6...3.....1....9...3...1.6.8...2..9..6....1.7,24,31,26,1,0,0,0,0,0,Intermediate,
..3.5.....1..34.7...7..69.3.82......43..2..56......32.3.16..2...2.18..3.....9.1..,29,50,2,1,0,0,0,0,0,Intermediate,
..4...2..3.24.65.8.5..9..1..6.....8.9..6.1..7..18.96...........47.....92...975...,28,39,14,4,0,0,0,0,0,Intermediate,
...2.57.9..46.....5......2.9..5...1.1...94.8.7..8...6.6......7...23........1.72.5,26,40,15,1,0,2,0,0,0,Intermediate,
96..2.....47........1.4..3..7.15..4.....79...5..3......9..3.5.26.....7.91..8.....,25,48,8,1,0,0,0,0,0,Intermediate,
.2..41.6.7.4.....2..6....35....8.5..49.....2......4..8....92..1......9.6.6..3..4.,25,39,17,1,0,0,0,0,0,Intermediate,
.85.1..364...5.1..........45.8.9..4..4.3.1.6..3..4.2.78..........7.3...969..8.71.,30,49,2,1,0,0,0,0,0,Intermediate,
4.......93.2...6.8...4.8.......1......37.59...6.2.3.1...5...8..6.4...3.223..9..67,28,44,9,1,0,0,0,0,0,Intermediate,
4..28..9.......4..6....4.533....9...29.....36...7....897.3....2..6.......2..16..9,26,35,20,0,0,1,0,0,0,Intermediate,
.9...3...75..6..9..8......2.3...4..89..2.6..52..9...7.5......6..7..1..39...7...5.,26,41,14,1,0,0,0,0,0,Intermediate,
.5..4......6.....23.....954..2..43.5.3.9.1.....9..21.71.....523..8.....6.2..5....,27,41,13,0,0,2,0,0,0,Intermediate,
....72.....94.1..77...5.32....5.7693.........6918.3....54.9...61..6.59.....12....,30,44,7,1,0,0,0,0,0,Intermediate,
....4......5....364.8..........8...493.6.........392.1......8.582..9..4....1....2,23,47,11,2,0,0,0,0,0,Intermediate,
7..158..4....3.....31...68..5.7.2.6.....1....6.7...4.9.6.....9...8...7..9.5...2.6,27,44,10,1,0,0,0,0,0,Intermediate,
..6...3...4.3.7..........5..8.........4..29...7.49...193.6.47.....1.3...7..82..1.,25,46,10,1,0,0,0,0,0,Intermediate,
...1.5.....2.7.6..4...9...3.3..8..4..........7.53.92.89.......7...7.1...8.3.6.1.4,26,45,10,0,0,2,0,0,0,Intermediate,
...5.....28..3.56.1......47.2.71..9...1...2...7..63.8.49......2.38.2..16.....9...,28,43,10,2,1,2,1,0,0,Intermediate,
7.2.....4...8.......6.1...7.39..62.......361..81..57....7.6...5...3.....9.8.....6,25,46,10,2,0,0,0,0,0,Intermediate,
5...4...8..17.69....6.8.4....4.7.5..3.......77.85643.96...2...4.8.....5...5...2..,29,34,18,1,1,0,2,0,0,Intermediate,
.3....75...75.41..5......2......78..95.14.........24..6......8...57.82...4....69.,26,39,16,1,0,0,0,0,0,Intermediate,
...6....9..5..1......9.4.3.........2...178...596.4...7.8.26.....7..15.9.3.....2..,25,50,6,1,0,0,0,0,0,Intermediate,
...27...8..9.3...53..9..7...........6.1.2.......41...7.9.36..7..8.7..63......5...,24,39,18,0,1,2,0,0,0,Intermediate,
1...2...57.4.1.6.9...7.9......6.4....1..3..6.6.78.15.3..32.58......8....2.......6,28,45,8,1,0,0,0,0,0,Intermediate,
32...6..5.5..1......6...8.......7.426.24.1........8.53..4...7...6..9....89...2..1,26,40,15,1,0,0,0,0,0,Intermediate,
..27.58..6.......9...9.3...379...456.............9.....4.8.1.3..5.....7.8...2...5,24,46,11,1,0,0,0,0,0,Intermediate,
3.1.4.8.5.....2....4.539..........84..81....2.......16.3.651........3...1.7.9.5.3,27,42,12,1,0,0,0,0,0,Intermediate,
3.4..8......1..5.......7.64....1....8..63..2..95......4.895...35.9....8.1....3...,25,31,25,0,1,1,0,0,0,Intermediate,
8...74..........6..179......9..4621..62..1..7.4..9785..846............4.2...53...,28,38,15,1,0,0,0,0,0,Intermediate,
.2.1.9.4...5.4.3..4.......13.19.54.8.5..3..1...8...9..8..7.1..3...862....1..9..8.,30,30,21,1,0,2,0,0,0,Intermediate,
29..4.1.....8...59......64.76..19...4..7.....52..68.........42....6...7564..9.8..,28,35,18,1,0,3,0,0,0,Intermediate,
.1..3.57..65..1...8..7....1.49....3......4169.86....5.6..5....3.34..8....2..9.41.,30,44,7,1,0,0,0,0,0,Intermediate,
6..2....7.3.1......18.3..65.......24...648...35.......16..2.45......1.7.5....9..1,27,45,9,6,1,2,1,0,0,Intermediate,
.8......12....85...57...38...24........7.5.34..13......48...21.3....78...9......6,26,40,15,1,0,0,0,0,0,Intermediate,
..4...5.8...4.2.3.61......42...65....8.2...9.4...98...76......3...3.1.6...1...9.5,27,42,12,2,0,0,0,0,0,Intermediate,
.......376....78..8...2..9......42.........58...9........34.6.9..38.15....16.....,23,49,9,1,0,4,2,0,0,Intermediate,
.3.....4.8694.......1.8...3.2..1..9....7.4....9..6..5.6...4.2.......3581.5.....6.,26,40,15,1,0,1,0,0,0,Intermediate,
.9..8..2..6..3..4..58...67.72.9.8.16.........6.......9...1.6....4.....8.1.......7,24,46,11,4,0,0,0,0,0,Intermediate,
...5...79..9......8...3..6..7....6.2...95..4..4.3.......6...18...5.9....1....7...,22,41,18,3,0,0,0,0,0,Intermediate,
1.4..6...........4....8...7....9.2....8.1.....2.....358..9.....29.5..7....12.4..3,23,35,23,2,0,1,0,0,0,Intermediate,
..6.....5..45.3..82..67....76.8.......2...5.......1.79....19..66..4.53..5.....9..,26,41,14,0,0,4,1,0,0,Intermediate,
3542......6....3..2......469..32.1.....1.9.....7.85..442......3..6....2......2581,28,42,11,1,0,0,0,0,0,Intermediate,
...3...9..29.1..7......92.8.3.6...157.2...........1.4.5............8.5...8.5.4.31,25,41,15,3,0,0,0,0,0,Intermediate,
...9..2.7........45.41...93.6.37......5.1..3.4...9........3..158.......67..2.....,24,48,9,1,0,3,0,0,0,Intermediate,
...7..6.21...2.....9...6.3...128.5....6...9....2.694...1.6...9.....5...76.4..7...,26,34,21,2,0,0,0,0,0,Intermediate,
.....7.2.1.6.5...35...296....2...7.669...5....3.......46....1......8......71..23.,25,38,18,2,0,0,0,0,0,Intermediate,
.14.....2...74......7..861...1.7..8....6.9....5..8.1...761..2......94...4.....53.,26,37,18,3,0,0,0,0,0,Intermediate,
..4...1......8......62.49...41...62..691.534.5..6.7..9....5.......438.....2.1.7..,28,49,4,1,0,0,0,0,0,Intermediate,
3.4.9.7.2....1....5..3.4..9...7.1....3.....2.9.8...1.72.35.84.1.5.....7..49...38.,30,40,11,1,0,0,0,0,0,Intermediate,
....3....7.64.5...5..2..84..7...42.5.......16.2...34.81..6..95.4.75.2.......9....,28,27,26,0,0,1,0,0,0,Intermediate,
.385..2..9..438.....6...1..8.7..4.16...1.....24............5..4..3....8....6.....,23,35,23,1,0,1,0,0,0,Intermediate,
....4.598.87....4.1...9......8..49..4...2...1..97..6......7...6.6....35.532.6....,27,43,11,0,0,2,0,0,0,Intermediate,
.5.4.3.2.3...2...7..9.7.4...82.5.61..3.7.2.9....136...42.....61..8...7...........,28,42,11,0,0,3,0,0,0,Intermediate,
.5...3.....3.4.6.5.4.7...3.6..8.71...1.....4...72.4..6.7...1.8.1.5.9.7.....3...6.,28,40,13,1,0,0,0,0,0,Intermediate,
...6........27.5.1.8....37.5........94...7....1..9.2.7...94..5..5..2.43...35.....,25,36,20,0,0,1,0,0,0,Intermediate,
79...1.6..2...4.....59..8....46...37....2....83...72....1..24.....8...9..6.1...82,27,40,14,3,1,2,0,0,0,Intermediate,
..8.4..7.21.3...6....1.7..2..9...61.7.......9.63...5..9..6.5....7...3.28.3..2.9..,28,42,11,0,0,1,2,0,0,Intermediate,
.....4..2..1...5.9.7...8.36.....79.5.2..1..6.7.68.....43.2...9.9.5...2..6..7.....,27,44,10,1,0,0,0,0,0,Intermediate,
......6..43....15.....1.4..56...497...2.8......9.5..2........13..67....92....8...,24,50,7,1,0,2,0,0,0,Intermediate,
.9....64.6....1.8......65.24..7..2.3.59......7...2.....8.47..6.....5.4..1...9....,25,49,7,1,0,4,0,0,0,Intermediate,
.9.4..5..1..598.3.4...6........5239.94.3...1.....4968.3...7....2..915.4..1.8..7..,32,46,3,4,0,0,0,0,0,Intermediate,
9...6..2..3.2194.......81...91.........54179..54...........69...8.9345..1...5..8.,29,40,12,2,0,0,0,0,0,Intermediate,
..9...5.31723..9.8....8..7.......8252.46...........641....6..9.9134..2.6..8...1.4,31,46,4,1,0,0,0,0,0,Intermediate,
..78.35.43...1.....98..5....5...8....8.9.1.7....6...5....4..36.....3...97.61.94..,28,28,25,1,0,0,0,0,0,Intermediate,
.8.....4.9..1....5..1.968....5.1..2...93.45...7..6.9....857.2..6....1..8.3.....9.,28,38,15,1,0,0,0,0,0,Intermediate,
.48..16.5............5.8......2.........64.982......3..576...2.8.......393.75..4.,25,47,9,2,0,0,1,0,0,Intermediate,
.5.........78.1.3...8.54.....93..78.....85.12.........5..4.....6...3.89.7.19..3..,26,34,21,3,0,1,1,0,0,Intermediate,
.7.....1...47213...156.349...1.6.8......5....3...7...5..........978.412..3..1..8.,29,46,6,1,0,0,0,0,0,Intermediate,
....64......3....4.24....7..39.186....7.4.1...58.972...93....8....7....5....89...,27,49,5,0,1,0,0,0,0,Intermediate,
.59..3......9....57...6..8.5...179.....5...383...984..6...8..1....6....7.71..2...,27,43,11,1,0,1,0,0,0,Intermediate,
...9..1..218.6.....7...1..6...12...9..1..4.5....35...7.9...6..2156.4.......8..9..,27,36,18,1,0,0,0,0,0,Intermediate,
...7.4....25...13.1.4...8.7...2.3....67...38.....9.....8.....2...2...4..5...2...9,24,36,21,1,0,0,0,0,0,Intermediate,
64..23....2..75.4........8.7.2.1....489.........9..7.....3...7...3.8..1...5..4.2.,25,52,4,0,0,3,0,0,0,Intermediate,
...31....8..7.6.........52.3..5...8.6.4..793...7..............1746...8...2..7.3.9,25,53,3,0,1,5,1,0,0,Intermediate,
......45.1.5..46.8....2...1.3.......4....1......89...2.4.....96.9.76.....5.2..7..,24,42,15,3,0,0,0,0,0,Intermediate,
.4...13.2..5..6.....3..4..1.24.....5....8....9.....73.5..6..9.....2..1..1.63...8.,25,42,14,2,0,0,0,0,0,Intermediate,
...34......6.....3..9...82..62.3..........315.7....9...5.91.....9.5..4.....4735..,25,53,3,2,0,0,0,0,0,Intermediate,
.5..2..4.241...673.........4...6...7..34128.....7.5.......8......85.69..6...7...8,27,46,8,3,0,1,0,0,0,Intermediate,
.2..4..5...4...2..7652...1.....1732.3..8.........9378.1869...7...7...6...4..7..9.,30,46,5,1,0,0,0,0,0,Intermediate,
...3....4.7..15..25.4..7......6.42..2...9...6..97.2......2..5.91..54..8.9....1...,27,32,22,1,0,0,0,0,0,Intermediate,
1.....36...29.....9....5.2..7.8.4..3...69..........4.....36.1.4.4..5.6...8...2...,24,44,13,0,0,4,0,0,0,Intermediate,
..5...7.....7.1.63.6...4.1.1...8...4....2..5.5...3...7.2...9.8....6.3.72..9...4..,26,48,7,3,0,0,0,0,0,Intermediate,
4...3...5..8...9......4....12.....849.......3..73.41....48.76...1.4.9.3.7.......2,26,38,17,0,0,2,0,0,0,Intermediate,
...29..7...45....2.8...631...3....8.....2...7...68....21.7.....9.....2..6...5....,23,39,19,1,0,0,0,0,0,Intermediate,
49...6.3.......6...3.7...89..612.....8..9...5..485.....6.2...58......1..71...5.2.,27,39,15,2,0,0,0,0,0,Intermediate,
..16.........549.8.2....4....7.3.5.4.9.57......8.4.2.1.8....3......231.5..34.....,27,43,11,1,0,0,0,0,0,Intermediate,
.5..43...1.6.7.......5...7.......68.8..1.4..9.79.......2...7.......9.3.4...65..1.,24,42,15,1,0,0,0,0,0,Intermediate,
...821.............129.376...4.7.3..7...9...1.53...67.4.......63.1.5.9.7..6.1.5..,29,43,9,1,0,0,0,0,0,Intermediate,
..82.59..7......4...53..2..8.7.3.....9.1..7..3.4.7......67..5..5......2...98.64..,27,34,20,2,0,0,0,0,0,Intermediate,
....7......5...8..26.418.797..293..1.8.....2.3..1.4..7...8.7...94..5..38....4....,29,43,9,2,2,4,1,0,0,Intermediate,
7......4.5.8....9..6..4..8..5..83..79...16....2....5.118..743.......5...6.....8..,26,41,14,1,0,0,0,0,0,Intermediate,
..7.954....6..2....9...4.758.3....64.........4.1....29.8...7.16..4..8.....2.163..,28,45,8,1,0,0,0,0,0,Intermediate,
.92.5..4.48.9..315.1......2...2.7.3.2.......4.4.3.5...6......7.821..4.56.7..8.42.,32,40,9,1,0,0,0,0,0,Intermediate,
..7..3...512.....8........9...2........58.7......74...6...5.3...4...9..515...84..,23,45,13,1,0,0,0,0,0,Intermediate,
6..1....2..3..9.....12.793..58...1.7.........4.2...59..149.26.....5..4..5....4..1,28,40,13,2,0,0,0,0,0,Intermediate,
...8.....867..4...2.9.....46...7..457...2.86.1...5..799.6.....3582..7......6.....,28,43,10,1,0,3,0,0,0,Intermediate,
9.2..48.31...7...5..3......4....5.....869.14.2....8.....5......8...3...67.6..25.8,27,49,5,1,0,0,0,0,0,Intermediate,
..4...1......2....3.7...9.5..61438...........4..8.6..37...1...2.3.7.5.9..1.....3.,25,42,14,3,0,0,0,0,0,Intermediate,
2.4.1.........7.1............5.4.6.....3..7.....8...437....935.4...68.2..6....8..,23,39,19,1,0,0,0,0,0,Intermediate,
..........7..4..8....561...7..9.2..39...8...7..1...4..28..3..56.5.....4..1.4.5.2.,26,49,6,5,0,0,0,0,0,Intermediate,
....3...95.2..9.3...32...4..35..7.6.42.....8..61..4.2...85...9.6.4..2.7.....7...3,29,35,17,4,0,3,0,0,0,Intermediate,
.25.3....1....6.....9.7..2.2.....3685.46..1..9.....475..3.1..8.7....4....61.5....,28,49,4,1,0,0,0,0,0,Intermediate,
21..93.......18.7..4.5.....3.....86...9.5.2...24.....1.....7.9..5.93.......68..13,27,44,10,2,0,3,0,0,0,Intermediate,
6..71....4......13..8.3.2....7...98.8.......5.54...7....5.4.3..98......1....52..9,26,43,12,0,1,1,0,0,0,Intermediate,
..9....2..2.........3.85....4.37...9......1.75.19..8........57.6..........2.3..18,23,49,9,2,0,0,0,0,0,Intermediate,
..593......4..2.......8..14.2..9...69.18.73.27...5..8.35..2.......3..6......694..,28,43,10,1,0,0,0,0,0,Intermediate,
8...2...4..31.48..4.......97.24.93.6..6...9...5..8..7....3.7.......6.....2..1..4.,26,39,16,0,0,4,2,0,0,Intermediate,
18..2.......1..6.3..63.....7.4.9...1.5.....9.9...3.8.5.....97..5.9..1.......4..52,26,36,19,4,0,4,0,0,0,Intermediate,
....7.4...4.3.859.36.5......7.2.681.6.......5.281.3.6......5.28.168.2.5...5.3....,32,33,16,0,0,1,0,0,0,Intermediate,
......3...3...628.85.23.....4.8.79....3.1.8....83.4.1.....43.76.716...2...9......,29,38,14,1,0,0,0,0,0,Intermediate,
4...5...8...2.1....97...14..5.....6.6.1...3.7.8..9..1.1.5...7.3..3...4..8...2...1,27,43,11,2,0,0,0,0,0,Intermediate,
4..5.8..6...........56129...4..3..9..5.....3..8.759.6.6.4...2.3.........592...617,29,46,6,5,0,4,0,0,0,Intermediate,
1......5...24......3..7.2....9......4..293.7..87......2......4.593.4......8.5913.,26,37,18,2,0,0,0,0,0,Intermediate,
.........38.951.747..3.4..96.42.78.3....3....9.......2.68...34.2.3...6.5.........,28,42,11,2,0,0,1,0,0,Intermediate,
47........8....2.1...2...8....561..384...91.6............3....9.1...5.7.7.5...6..,24,51,6,2,0,0,0,0,0,Intermediate,
.6.2.9..........2.2.9.....4.....5.62.7..3..1....6..479842.....6.....61..5...7....,25,30,26,1,0,1,0,0,0,Intermediate,
..4...5...6.....3.3..5.6..2..36.72...5.3.1.7.....8......64.81...4.....9.8.9.2.4.3,28,38,15,2,0,0,0,0,0,Intermediate,
8.....7....3..4..6...97..2.1..34....74.....63....82..5.2..35...5..4..9....1.....2,26,45,10,2,1,4,1,0,0,Intermediate,
.....36....7..5.2....98.1.7..25.1.4.9.......1.1.3.72..3.8.52....2.1..4....96.....,28,41,12,0,0,1,0,0,0,Intermediate,
....8.6...1.5.4..9.8....7.....47..21...3.2...43..18.....6....9.8..7.3.5...4.6....,26,43,12,0,0,5,0,0,0,Intermediate,
.9.51.6.357..2..8.1...9.5..6.........4....3.......68.231.97...59..3.2..4.........,27,46,8,2,0,3,0,0,0,Intermediate,
64..7..8..5.....1.8..2.1...27......5..5..6.4.3.....89..6..5.....2.86.5........1..,25,44,12,1,0,0,0,0,0,Intermediate,
.7..1..8............64..59......2...3589....7.6918......5.94..36..2...5...3...2..,26,43,12,3,0,1,0,0,0,Intermediate,
7.1.8..9....5.1.7..2......39...26..4....9.3......4...649..3.2.8..........8.9.....,24,46,11,2,0,0,0,0,0,Intermediate,
9.21....4..495.........4.19..1....37.6..9..2.47....8..12.8.........157..7....31.6,29,32,20,0,0,1,1,0,0,Intermediate,
...........78139..6...7...5....3....16..5..37..9...6..9..1.4..8.7.....2.3..7.5..1,26,38,17,1,0,0,0,0,0,Intermediate,
...8132....2.5..4........6.34.6.5...5.67....491.3.8..........8...9.8..7....1673..,28,42,11,1,0,0,0,0,0,Intermediate,
.27.4.85.3....7......5..76..8......4..9.8.6..6......7..63..1......9....6.71.6.43.,27,39,15,1,0,0,0,0,0,Intermediate,
..3.9...2..56......6....73484.17.6...............2.1...76..5.8.......2.....8..4.7,24,39,18,1,0,4,0,0,0,Intermediate,
..2....4....3.4......9...7.91.5..7.286.1....9.3....4.63...6.2...........1.......5,23,40,18,2,0,0,0,0,0,Intermediate,
..16358..9.8...3.7....7..............2..1..7.4.78.39.1.........3.2...4.6..95.27..,27,46,8,3,0,3,0,0,0,Intermediate,
.28.......7.24.5........9.1...1......95..84.......2.83.6.7......5....2.4.39....5.,24,49,8,1,0,0,0,0,0,Intermediate,
..7..5...8.....4.....4...9...5...9..4..17..65...2..3........8.....913.56.....7..4,23,44,14,1,0,0,0,0,0,Intermediate,
.........92.....54...8..2..1..78.6...83..4...5....1.....7..298...4.7.....95...1..,24,47,10,4,0,1,2,0,0,Intermediate,
..1..736....3.2.8...6...92....6..75..3..7..1..57..9....68...1...9.1.8....759..8..,29,42,10,1,0,0,0,0,0,Intermediate,
.....76.8.9...........31.5.4...7.....83....61.7....9..2....3..97.54....2.3.......,23,43,15,1,0,4,0,0,0,Intermediate,
....2..4..86..3......6.....8..531..............94675...3....8.97.....2...2.1.57.6,25,42,14,1,0,0,0,0,0,Intermediate,
...1..7.......3.626...4.3...5...2.7.91.....5..8...4.2.4...7.9.......5.17...8..4..,25,46,10,0,1,0,0,0,0,Intermediate,
.48..3..7.5........67.45..9.......5..8.136....96..4.......9..74....8.....72....6.,25,50,6,3,0,0,0,0,0,Intermediate,
.5.7.9.2.7.......63...1...49.......2...5.8.....89.46...........12.....4347.2.5.98,27,46,8,3,0,4,0,0,0,Intermediate,
5.3.418.26......7.....3...4.....82..7.24...6......97......9...64......2.1.5.249.3,28,40,13,2,0,0,0,0,0,Intermediate,
.492.375...1.8.3..3.......6.5.4.2.6..1..5..7.9.......4.9.1.4.3............39674..,29,41,11,3,0,0,0,0,0,Intermediate,
.3.......8.4.3..521296.....4.......9...21...8..65....7.....7......4..2.57..86..4.,26,45,10,1,0,6,0,0,0,Intermediate,
....5....6.7..3...5..1...7.......5.64.1..52...3......97.6.8....85.24........9.4..,24,42,15,1,0,3,0,0,0,Intermediate,
..57341..1.3.5.4.2..7...5...1.....8.....1......85.36..9..8.1..7.4..9..5..........,26,40,15,3,0,1,0,0,0,Intermediate,
..245..1.1...93......1....8.5....1.697.....346.8....2.4....1......93...5.9..457..,28,39,14,1,2,3,1,0,0,Intermediate,
2..6...8...1.....5..793.....9.....7...84..2......58.....9.8...6.7..1.3.8....2.71.,25,42,14,0,0,1,0,0,0,Intermediate,
8.....57..97.5....5...89..1..259.........7.....346....2...18..6.64.2....3.....92.,27,49,5,3,0,0,0,0,0,Intermediate,
7........4.5.6.7..9..3.7.48...5..3.7..7.........2..6.18..7.6.396.2.1.5..3........,27,39,15,3,0,0,0,0,0,Intermediate,
....8..9..3...67.....3.....7.9....6..8.........1..4573..51.9..8.2..5..4.4..2.....,24,48,9,3,0,0,0,0,0,Intermediate,
7....3.........4.....8..715..12.....8.59.4.3...3...95.4.9376.8...7....9..1...9...,27,45,9,1,0,3,0,0,0,Intermediate,
